,dataset,model,max_accuracy,mean_accuracy,std_accuracy
46,RAVDESS,WAV2VEC2_LARGE_XLSR,74.00000095367432,"[45.0000003  57.50000179 55.83333075 54.33333516 60.00000238 60.33333242
 60.16666591 63.49999905 61.66666746 66.99999869 65.33333361 63.83333206
 65.66666663 69.16666627 66.33333266 66.49999917 69.16666627 67.83333421
 70.66666782 70.83333433 65.1666671  66.33333564 21.99999988 18.50000024
 13.83333355]","[4.33333367 2.83333361 3.49999964 0.99999905 0.         2.00000107
 1.16666853 1.16666555 4.33333516 1.66666806 4.33333218 1.49999857
 1.33333504 4.83333468 2.33333409 2.16666758 1.49999857 1.83333158
 1.33333504 1.16666853 2.16666758 0.33333302 1.33333355 2.83333361
 0.49999952]"
47,RAVDESS,WAV2VEC2_LARGE_XLSR300M,75.66666603088379,"[47.4999994  47.4999994  52.6666671  54.8333317  62.83333302 61.00000143
 60.99999845 63.83333206 61.16666496 63.83333206 67.49999821 68.50000024
 66.83333218 70.1666683  71.33333385 68.50000024 69.99999881 70.33333182
 71.99999988 70.1666683  69.66666579 69.66666579 68.99999976 65.83333313
 63.99999857]","[2.5000006  0.16666651 1.33333504 2.16666758 5.1666677  0.99999905
 4.33333218 0.83333254 4.16666567 0.16666651 2.83333361 1.16666555
 2.5000006  2.83333361 4.33333218 1.16666555 0.         1.33333206
 1.33333504 1.83333457 5.00000119 4.66666818 0.         1.83333457
 1.33333206]"
48,ShEMO,HUBERT_ASR_LARGE,93.81720423698425,"[79.83870804 81.72042966 89.11290169 89.11290169 89.51612711 91.53226018
 90.86021483 91.53226018 91.12903476 92.06989408 91.53226018 91.26344025
 93.14516187 93.01075339 92.60752797 92.74193645 92.4731195  93.54838729
 92.06989408 92.06989408 91.39785171 92.74193645 92.87634492 91.26344025
 91.80107713]","[2.15053856 1.07526779 1.47849321 0.94085932 0.5376339  0.67204237
 0.53763688 0.13440847 0.         0.67204237 0.13440847 0.67204535
 0.13440847 0.26881695 0.67204237 0.5376339  0.80645084 0.26881695
 0.67204237 0.13440847 0.26881695 0.26881695 0.13440847 0.9408623
 0.13440847]"
49,ShEMO,HUBERT_BASE,89.7849440574646,"[77.28494704 78.22580636 83.46773982 85.61828136 86.55914068 86.9623661
 87.23118305 87.76881695 87.90322542 88.97849321 89.38171864 88.84408474
 89.24731016]","[2.01613009 1.07527077 0.40322542 0.94085932 1.07526779 0.67204237
 0.40322542 0.67204237 0.26881695 0.80645084 0.13440847 0.13440847
 0.        ]"
50,ShEMO,HUBERT_LARGE,91.12903475761414,"[79.56989408 81.04838729 87.76881695 88.17204237 89.78494704 89.65053558
 89.65053558 89.11290169 87.76881695 90.18816948 90.32257795 88.70967627
 90.18816948 89.78494704 90.86021483 89.51612711 90.72580636 90.18816948
 88.97849321 89.65053558 89.11290169 89.78494406 89.65053558 89.65053558
 89.24731016]","[0.5376339  0.67204237 0.67204237 0.80645084 1.07527077 0.13440847
 0.67204237 0.94085932 1.20967627 0.13440847 0.26881695 0.5376339
 0.13440847 1.07527077 0.26881993 0.80645084 0.4032284  0.40322542
 0.80645084 0.13440847 1.20967627 0.26881695 0.40322542 0.40322542
 0.26881695]"
51,ShEMO,WAV2VEC2_ASR_LARGE_960H,90.05376100540161,"[76.07526779 84.67742205 87.09677458 87.36559153 87.76881695 89.51612711
 89.38171864 88.84408474 89.11290169 89.24731016 88.84408474 89.24731016
 88.44085932 89.11290169 89.78494406 88.84408474 88.84408474 88.44085932
 88.84408474 87.76881695 88.84408474 88.44085932 88.0376339  88.70967627
 88.84408474]","[1.07526779 0.         0.80645084 0.5376339  0.40322542 0.5376339
 0.13440847 0.40322542 0.13440847 0.5376339  0.94085932 0.
 0.5376339  0.67204237 0.         0.13440847 0.40322542 0.26881695
 0.94085932 0.13440847 0.67204237 0.         0.13440847 1.34408474
 0.67204237]"
52,ShEMO,WAV2VEC2_BASE,91.12903475761414,"[76.34408474 78.36021781 85.34946442 88.30645084 87.90322542 88.17204237
 89.38171864 90.72580636 89.91935253 89.24731016 88.70967627 89.51612711
 87.76881695]","[0.26881695 0.13440847 0.67204237 0.40322542 0.26881695 0.
 0.40322542 0.4032284  0.67204237 0.80645084 0.         0.80645084
 0.67204237]"
53,ShEMO,WAV2VEC2_LARGE,90.59139490127563,"[74.73118305 84.40860212 85.88709831 85.88709831 88.17204237 88.0376339
 88.84408474 89.38171864 89.38171864 89.65053558 89.91935253 89.38171864
 88.97849321 89.11290169 88.30645084 88.0376339  88.97849321 89.11290169
 89.24731016 89.11290169 88.44085932 89.24731016 88.97849321 89.91935253
 89.91935253]","[1.07526779 0.53763688 0.67204237 0.67204237 0.         0.13440847
 0.13440847 0.13440847 0.67204237 0.40322542 0.13440847 0.13440847
 0.26881695 0.13440847 0.13440847 0.40322542 0.26881695 0.40322542
 0.5376339  0.40322542 1.07526779 0.5376339  0.26881695 0.40322542
 0.67204237]"
54,ShEMO,WAV2VEC2_LARGE_XLSR,93.01075339317322,"[80.77957034 88.57526779 88.44085932 88.17204237 89.78494406 90.59139788
 91.26344025 91.66666865 91.39785171 91.9354856  92.60752797 91.80107713
 91.5322572  91.26344025 90.05376101 89.78494406 90.99462628 89.91935551
 90.86021483 90.9946233  92.20430255 91.66666865 61.69354916 54.83871102
 53.09139788]","[1.74731016 0.40322542 0.5376339  0.5376339  0.80645084 1.34408772
 1.47849619 0.5376339  0.         1.07526779 0.13440847 0.94085932
 1.47849619 0.9408623  0.26881695 0.26881695 0.13440847 1.74731314
 0.26881993 0.67204535 0.26881695 0.26881695 0.40322542 1.07526779
 3.62903178]"
55,ShEMO,WAV2VEC2_LARGE_XLSR300M,93.27957034111023,"[82.66128898 87.90322542 88.44085932 88.0376339  88.70967627 90.86021483
 91.12903178 91.26344323 91.12903476 91.39784873 92.20430255 91.26344025
 92.20430255 91.5322572  92.87634492 91.53226018 92.4731195  91.39784873
 91.39785171 92.20430255 92.06989408 92.4731195  92.4731195  92.74193645
 92.60752797]","[0.40322542 0.80645084 0.26881695 0.13440847 0.80645084 1.07527077
 0.53763688 0.13440847 0.         0.80645382 0.26881695 1.20967925
 0.80645084 1.20967925 0.40322542 0.40322542 0.5376339  0.80645382
 0.         0.5376339  0.13440847 0.80645084 0.         0.26881695
 0.13440847]"
