,dataset,model,layers,mean_accuracy,mean_weights
123,AESDD,WAV2VEC2_LARGE,22,65.94202816486359,"[0.03454817 0.03661301 0.03561297 0.03791227 0.04055409 0.04519336
 0.04658459 0.04955617 0.04859262 0.04613706 0.04646577 0.0426431
 0.04047528 0.04228957 0.04403484 0.04474739 0.0494283  0.04977196
 0.05066395 0.04909411 0.04384843 0.039335   0.03589797]"
124,AESDD,WAV2VEC2_LARGE,23,63.28502297401428,"[0.03293039 0.03535016 0.0334009  0.03603615 0.03949367 0.04333663
 0.04425886 0.04681621 0.04643261 0.04668353 0.04622708 0.04278825
 0.03954959 0.0418274  0.04290068 0.04352832 0.04793152 0.04774147
 0.0486543  0.04699584 0.04206933 0.03779775 0.03456764 0.03268175]"
125,AESDD,WAV2VEC2_LARGE,24,58.93719792366028,"[0.03134293 0.03432325 0.03289991 0.03583311 0.03886179 0.04225438
 0.04230936 0.04507553 0.04376433 0.04502504 0.04362181 0.04056704
 0.03860635 0.04051715 0.04151706 0.04219742 0.04606956 0.04601032
 0.04625244 0.04561267 0.04124838 0.03599221 0.03309817 0.03092167
 0.0360781 ]"
126,AESDD,WAV2VEC2_LARGE_XLSR,0,40.09661823511124,[array([1.])]
127,AESDD,WAV2VEC2_LARGE_XLSR,1,50.72463899850845,[0.34854537 0.65145463]
128,AESDD,WAV2VEC2_LARGE_XLSR,2,53.62319052219391,[0.2408795  0.37650073 0.38261977]
129,AESDD,WAV2VEC2_LARGE_XLSR,3,58.212560415267944,[0.16928925 0.24828052 0.2746779  0.30775234]
130,AESDD,WAV2VEC2_LARGE_XLSR,4,55.55555522441864,[0.14484215 0.18103694 0.20533832 0.23593429 0.23284827]
131,AESDD,WAV2VEC2_LARGE_XLSR,5,53.14009636640549,[0.12372652 0.14114932 0.15501375 0.18542454 0.19501663 0.19966923]
132,AESDD,WAV2VEC2_LARGE_XLSR,6,64.00966048240662,"[0.10803156 0.11343867 0.12460297 0.14728116 0.17256822 0.17838282
 0.15569457]"
