,dataset,model,layers,mean_accuracy,mean_weights
39,AESDD,HUBERT_LARGE,1,50.724637508392334,[0.39212619 0.60787386]
40,AESDD,HUBERT_LARGE,2,53.14009487628937,[0.26947558 0.28077729 0.44974713]
41,AESDD,HUBERT_LARGE,3,53.62318754196167,[0.19623575 0.19125786 0.30118762 0.31131878]
42,AESDD,HUBERT_LARGE,4,56.28019571304321,[0.15812793 0.15133161 0.21280323 0.23875689 0.23898041]
43,AESDD,HUBERT_LARGE,5,54.347825050354004,[0.13378075 0.12771084 0.15853637 0.19517101 0.20113667 0.18366429]
44,AESDD,HUBERT_LARGE,6,57.00483024120331,"[0.11703721 0.11255863 0.12200399 0.16489581 0.1670139  0.15576836
 0.16072205]"
45,AESDD,HUBERT_LARGE,7,57.72947072982788,"[0.10007887 0.09833487 0.10681467 0.14022525 0.1477266  0.13669472
 0.1394641  0.13066095]"
46,AESDD,HUBERT_LARGE,8,59.903380274772644,"[0.09075917 0.08875135 0.09427104 0.11896952 0.12774543 0.11994935
 0.12425525 0.11941763 0.11588122]"
47,AESDD,HUBERT_LARGE,9,58.454105257987976,"[0.0829864  0.08019636 0.08428014 0.1046923  0.11284583 0.10649936
 0.11424176 0.10716168 0.1065816  0.10051462]"
48,AESDD,HUBERT_LARGE,10,59.42029058933258,"[0.07338322 0.07148151 0.07516543 0.09076196 0.09909189 0.09838843
 0.10256005 0.09724804 0.09858536 0.09416554 0.0991686 ]"
49,AESDD,HUBERT_LARGE,11,66.42512083053589,"[0.06830091 0.06588393 0.0691082  0.0800086  0.08982097 0.08761275
 0.09152171 0.08818101 0.0887517  0.08857988 0.09192492 0.09030538]"
50,AESDD,HUBERT_LARGE,12,62.077295780181885,"[0.06481764 0.06311904 0.0680193  0.07433362 0.07845194 0.08086989
 0.08292041 0.07991894 0.07690876 0.07830302 0.08435043 0.08442205
 0.08356498]"
51,AESDD,HUBERT_LARGE,13,60.386472940444946,"[0.05851579 0.05781279 0.0611302  0.06680271 0.07136447 0.07424242
 0.0779895  0.07618656 0.07160537 0.07432332 0.07983933 0.07972654
 0.07904996 0.07141104]"
52,AESDD,HUBERT_LARGE,14,66.42512083053589,"[0.05476735 0.05465897 0.05620454 0.06073827 0.06636688 0.06934186
 0.07224412 0.06988828 0.06699455 0.07040959 0.07555087 0.07522684
 0.07546851 0.06839132 0.06374805]"
53,AESDD,HUBERT_LARGE,15,65.94203114509583,"[0.05187485 0.05206136 0.05381615 0.05768005 0.06146891 0.06373157
 0.06700716 0.06643254 0.0627532  0.06555561 0.06995435 0.06965848
 0.07301913 0.06491745 0.06089732 0.05917188]"
54,AESDD,HUBERT_LARGE,16,61.83575093746185,"[0.04760422 0.04788688 0.04899492 0.05309723 0.05654226 0.0606694
 0.06378422 0.06231681 0.05966008 0.06257779 0.06722798 0.06641735
 0.07006392 0.06164226 0.059068   0.05709198 0.05535471]"
55,AESDD,HUBERT_LARGE,17,66.90821349620819,"[0.04554782 0.04626122 0.04750548 0.05089885 0.05390023 0.0564325
 0.05971256 0.05909143 0.05611596 0.05945963 0.06390341 0.06395454
 0.06538958 0.05803701 0.05586226 0.05412937 0.05272198 0.05107616]"
56,AESDD,HUBERT_LARGE,18,67.63285100460052,"[0.04303205 0.04354651 0.04497235 0.04904361 0.05150793 0.05343261
 0.05626656 0.05582266 0.05294761 0.05551491 0.06151811 0.06015285
 0.06202642 0.05605204 0.05383355 0.05178359 0.05025152 0.04923134
 0.04906384]"
57,AESDD,HUBERT_LARGE,19,64.00966346263885,"[0.04084079 0.04162507 0.04238532 0.04557331 0.0473635  0.04903483
 0.05104126 0.05152336 0.04972728 0.05429987 0.05926355 0.05962335
 0.05872663 0.05448443 0.05301346 0.04986287 0.04830664 0.04745297
 0.0479422  0.04790928]"
58,AESDD,HUBERT_LARGE,20,64.73429799079895,"[0.03962553 0.03994061 0.04186882 0.04482243 0.04618663 0.04810562
 0.0495205  0.04936697 0.04788221 0.05030354 0.0559139  0.0574066
 0.05579066 0.04946047 0.04785406 0.04642601 0.04575987 0.04532388
 0.04599395 0.04636228 0.04608549]"
59,AESDD,HUBERT_LARGE,21,65.21739363670349,"[0.03810085 0.03803312 0.03940066 0.04239383 0.04381009 0.04459677
 0.0461539  0.04611554 0.04513343 0.04760892 0.0525145  0.05395534
 0.05418499 0.0483724  0.04634431 0.04453745 0.04403601 0.04394069
 0.04481517 0.04521007 0.04505061 0.04569134]"
60,AESDD,HUBERT_LARGE,22,66.42512083053589,"[0.03712248 0.03670987 0.03801395 0.03997166 0.04083928 0.04160152
 0.04306653 0.04275809 0.04253209 0.04397979 0.05013354 0.05099039
 0.05034293 0.04696679 0.04462129 0.04336857 0.04303801 0.04276752
 0.0435276  0.04375675 0.04412596 0.04531694 0.04444848]"
61,AESDD,HUBERT_LARGE,23,65.94202816486359,"[0.03658134 0.03647817 0.03747973 0.03941461 0.04000066 0.04043256
 0.04108163 0.04062944 0.04044586 0.04113735 0.04569544 0.0464319
 0.04644275 0.04392797 0.04237983 0.04094326 0.03962759 0.04050842
 0.04100283 0.04122017 0.04199867 0.04371462 0.04354117 0.04888408]"
62,AESDD,HUBERT_LARGE,24,66.42512083053589,"[0.03610446 0.03599347 0.03705345 0.03868293 0.03913698 0.0387933
 0.03919824 0.03877503 0.03894446 0.03956095 0.0430042  0.04339933
 0.04380461 0.041414   0.03935751 0.03745406 0.03857016 0.03744125
 0.03784793 0.03843596 0.03980719 0.04151857 0.04207311 0.04807519
 0.04555361]"
63,AESDD,WAV2VEC2_ASR_LARGE_960H,0,36.7149755358696,[array([1.])]
64,AESDD,WAV2VEC2_ASR_LARGE_960H,1,50.4830926656723,[0.39000253 0.60999745]
65,AESDD,WAV2VEC2_ASR_LARGE_960H,2,57.97101557254791,[0.24856177 0.32678683 0.42465143]
66,AESDD,WAV2VEC2_ASR_LARGE_960H,3,58.93719792366028,[0.1842465  0.21176359 0.31970572 0.28428414]
67,AESDD,WAV2VEC2_ASR_LARGE_960H,4,61.59420311450958,[0.14201628 0.14801034 0.22694999 0.22070002 0.26232335]
68,AESDD,WAV2VEC2_ASR_LARGE_960H,5,64.97584581375122,[0.12186643 0.12029808 0.14315647 0.17413515 0.21972205 0.2208218 ]
69,AESDD,WAV2VEC2_ASR_LARGE_960H,6,69.08212602138519,"[0.10593699 0.102242   0.10437078 0.12034595 0.18195945 0.18786819
 0.19727664]"
70,AESDD,WAV2VEC2_ASR_LARGE_960H,7,70.28985321521759,"[0.08988078 0.08850382 0.08552089 0.09363598 0.14411985 0.15857586
 0.17042415 0.16933872]"
71,AESDD,WAV2VEC2_ASR_LARGE_960H,8,68.11594367027283,"[0.07790262 0.07674685 0.07454542 0.07678938 0.11859126 0.13606335
 0.14830354 0.149052   0.14200559]"
72,AESDD,WAV2VEC2_ASR_LARGE_960H,9,68.84057819843292,"[0.07122827 0.07019966 0.06819902 0.06864565 0.10516347 0.12014529
 0.13442738 0.13439626 0.12927502 0.09831996]"
73,AESDD,WAV2VEC2_ASR_LARGE_960H,10,70.04830837249756,"[0.06418338 0.06361045 0.06190439 0.06158519 0.09276984 0.1088899
 0.12145983 0.12203499 0.11908169 0.10953242 0.07494793]"
74,AESDD,WAV2VEC2_ASR_LARGE_960H,11,68.59903335571289,"[0.05828902 0.05811693 0.05683131 0.05712788 0.08378601 0.09831843
 0.11216798 0.11188772 0.10785508 0.106899   0.088901   0.05981963]"
75,AESDD,WAV2VEC2_ASR_LARGE_960H,12,67.63285100460052,"[0.05377505 0.0548418  0.05335692 0.05344411 0.07858888 0.09012436
 0.10317397 0.10395174 0.0992313  0.09965911 0.09056015 0.06161433
 0.05767832]"
76,AESDD,WAV2VEC2_ASR_LARGE_960H,13,69.32367086410522,"[0.04967664 0.05179039 0.04981301 0.05085171 0.0743321  0.08448065
 0.09705492 0.09727086 0.09288456 0.0937527  0.08757921 0.06173535
 0.05759717 0.05118072]"
77,AESDD,WAV2VEC2_ASR_LARGE_960H,14,67.14975833892822,"[0.04692953 0.048953   0.0469622  0.04750183 0.07040949 0.07992638
 0.09195869 0.09238753 0.0889846  0.08979888 0.08458108 0.05803913
 0.05466961 0.04976497 0.0491331 ]"
78,AESDD,WAV2VEC2_ASR_LARGE_960H,15,67.14975833892822,"[0.04383867 0.04600516 0.04466831 0.04521858 0.06580195 0.07369104
 0.0875155  0.08764544 0.08413366 0.08375798 0.07992118 0.05802612
 0.05431282 0.04923658 0.04843644 0.04779058]"
79,AESDD,WAV2VEC2_ASR_LARGE_960H,16,68.59903335571289,"[0.04086801 0.04309845 0.04195572 0.04267214 0.06275835 0.06990305
 0.0822986  0.08309804 0.07968307 0.08013881 0.07723868 0.05510981
 0.05066202 0.04640144 0.04657566 0.05201164 0.04552654]"
80,AESDD,WAV2VEC2_ASR_LARGE_960H,17,67.39130318164825,"[0.03835987 0.04042995 0.03891337 0.04041851 0.05841749 0.06601968
 0.07774872 0.07810608 0.07436022 0.07612413 0.07540484 0.05588769
 0.04965754 0.04578174 0.04535451 0.05351863 0.04617658 0.03932046]"
81,AESDD,WAV2VEC2_ASR_LARGE_960H,18,66.42512083053589,"[0.03580179 0.03904104 0.03730288 0.03987712 0.05706745 0.06346437
 0.07421517 0.07445466 0.07177762 0.07059886 0.07093539 0.05294408
 0.04599035 0.04351355 0.04400118 0.05434284 0.04589025 0.03899687
 0.03978456]"
82,AESDD,WAV2VEC2_ASR_LARGE_960H,19,63.28502595424652,"[0.03419519 0.03674089 0.03563924 0.03899399 0.05509791 0.06086981
 0.06954768 0.06941091 0.06748664 0.06622593 0.06713416 0.05372817
 0.04412854 0.04298843 0.04367999 0.05430902 0.04733848 0.03713835
 0.03850944 0.03683723]"
83,AESDD,WAV2VEC2_ASR_LARGE_960H,20,65.21739363670349,"[0.03231913 0.03547883 0.0336955  0.03666692 0.05350255 0.05779186
 0.06602285 0.06650183 0.06485765 0.06411269 0.06451929 0.05222419
 0.04330861 0.04173027 0.04414627 0.05503827 0.04920365 0.03495138
 0.03626815 0.034761   0.03289912]"
84,AESDD,WAV2VEC2_ASR_LARGE_960H,21,70.0483113527298,"[0.03025476 0.03389954 0.03345603 0.03708237 0.05162038 0.05537038
 0.06341804 0.06343007 0.06209408 0.06279419 0.06169442 0.05284227
 0.04295949 0.03974321 0.04208047 0.05208841 0.04742756 0.03419401
 0.03496672 0.03413331 0.03268488 0.03176544]"
85,AESDD,WAV2VEC2_ASR_LARGE_960H,22,62.077295780181885,"[0.02883718 0.03300101 0.03321952 0.03639612 0.04931055 0.05280986
 0.06071143 0.06019889 0.05895836 0.05793458 0.05773315 0.05136727
 0.04297402 0.04114688 0.04279412 0.05270093 0.04793616 0.03440769
 0.03370468 0.0323208  0.03072621 0.03036872 0.03044188]"
86,AESDD,WAV2VEC2_ASR_LARGE_960H,23,66.42512083053589,"[0.02690065 0.03181674 0.03215477 0.03585654 0.04981772 0.05292833
 0.05904329 0.05909854 0.057377   0.05680148 0.05647787 0.0512985
 0.04304784 0.03914122 0.04067645 0.05199667 0.0471637  0.03136774
 0.03195806 0.03001713 0.0287701  0.02870524 0.02872884 0.02885566]"
