,dataset,model,mean_accuracy,std_accuracy
10,EmoDB,WAV2VEC2_LARGE,"[66.90476298 73.09523821 78.33333492 82.85714269 85.47619104 90.71428657
 92.61904836 96.42857194 95.23809433 89.28571343 89.28571343 90.71428537
 90.9523809  85.         83.09523821 81.66666627 84.28571463 86.90476298
 82.85714269 83.33333373 78.09523821 59.76190567 46.9047612  39.28571343]","[2.85714189 1.78174151 2.42810485 1.21405114 1.90476045 0.89087187
 1.16642216 0.75292227 1.50584642 2.12958776 0.75292415 1.38832169
 1.21405184 3.57935539 1.90476149 1.42857035 1.90476209 1.30410071
 5.13977117 2.38095284 2.97380963 1.57934504 3.41730988 6.20876383]"
11,ShEMO,WAV2VEC2_LARGE,"[81.23655915 85.16129136 86.4516139  87.84946203 89.0322566  88.70967627
 88.06451559 89.5698905  88.60214949 87.36559153 87.63440847 88.5483861
 88.17204237 87.09677458 86.88172102 87.74193525 86.61290407 87.25806475
 86.9892478  87.84946203 86.82795763 86.12903357 75.         69.67741847]","[0.7678948  0.87355344 0.69269282 1.28807926 0.46249016 1.16556251
 1.05628301 0.62235623 0.69269282 0.44981679 0.44981679 0.69269282
 0.58894842 0.65846436 0.7678948  0.82592886 0.85684743 0.36464105
 0.69269282 0.4927496  0.68005906 0.73323488 1.39163083 0.64516068]"
12,CaFE,WAV2VEC2_LARGE,"[44.44444537 52.05128253 62.47863293 57.09401727 63.33333254 60.76923132
 69.48717952 65.21367669 58.46153975 63.93162489 66.15384817 65.6410265
 69.23076987 70.34188032 68.20512891 69.82905984 68.97436023 71.79487228
 65.81196666 63.07692289 51.79487348 44.87179518 29.23077047 27.52136856]","[5.84080371 3.73925566 3.94831041 2.05128248 5.96088709 4.11145646
 0.95940002 3.91299832 5.45537546 1.22672668 1.49022177 2.94344957
 2.79579881 2.27099613 2.54408215 1.80501706 2.47125307 1.89196088
 2.63436461 2.93101218 5.70412798 3.70589438 2.33444435 2.71089798]"
13,IEMOCAP,WAV2VEC2_LARGE,"[56.66666746 58.73440266 60.26737928 61.26559734 60.39215684 61.63992882
 61.24777317 60.39215684 62.29946494 62.35294104 60.0534749  59.05525804
 59.89304781 61.4973259  60.21390438 60.48128366 60.24955392 60.80213904
 61.69340491 60.55258393 59.67914343 59.00178313 51.72905505 50.21390438]","[2.57043306 1.0409134  1.8173074  1.02336372 0.90119088 1.1408193
 0.83493996 1.01869817 0.69495853 1.04335285 1.99961459 0.88338773
 1.54680317 1.17295362 1.80256156 1.23317111 2.29663079 1.90105091
 0.73365844 1.84093368 0.90119152 0.29827291 2.07387286 1.59792886]"
14,RAVDESS,WAV2VEC2_LARGE_XLSR,"[57.93333292 56.46666646 59.60000038 61.13333344 65.33333182 70.66666484
 69.66666698 70.60000181 70.00000119 70.46666741 69.33333397 67.20000029
 66.46666646 68.53333354 69.33333278 70.19999981 69.60000038 67.4666667
 68.26666594 65.13333321 64.73333359 13.33333403 13.33333403 13.33333403]","[2.01549522 2.69650031 1.28927339 2.61278891 1.92064848 1.21105899
 2.18072301 2.0044405  3.10555031 3.09551598 3.38624792 4.11285268
 2.49977805 2.28619172 1.53478046 1.2754089  1.83060428 2.05047426
 2.11239691 1.84511432 1.35646693 0.         0.         0.        ]"
15,AESDD,WAV2VEC2_LARGE_XLSR,"[52.85024107 55.94202757 58.35748792 60.00000119 60.48309207 69.75845337
 71.59420371 70.53140044 71.30434752 75.16908288 74.00966167 71.88405752
 72.17391253 71.40096664 74.39613461 70.91787338 71.01449251 69.66183662
 68.01932454 66.08695745 64.15458918 18.45410615 20.57970971 20.67632794]","[3.19863583 2.39410909 2.14744971 4.09233272 2.6353975  2.33888281
 4.78626702 4.43813815 5.33242396 2.94012073 7.26503316 3.75943439
 4.04876022 5.99812417 2.22432283 5.08877099 2.22432283 4.08091001
 2.87267098 3.9766417  1.5993182  1.31059498 2.41739065 1.34573803]"
16,EMOVO,WAV2VEC2_LARGE_XLSR,"[27.34693855 31.32653058 29.9999994  36.53061211 38.57142866 42.65306175
 41.73469365 41.42857194 42.65306175 39.3877548  36.83673441 41.22448981
 40.91836691 46.53061211 45.3061223  47.55102098 53.1632638  46.83673501
 44.18367386 36.12244964 35.         14.28571492 14.28571492 14.89795953]","[3.57288605 1.35372376 3.06801955 3.17148323 2.71129176 3.4240737
 3.23326096 4.95081999 5.82258866 1.52720713 3.40577998 6.79472284
 4.12477224 4.39368296 5.47988576 2.87530651 2.05099405 2.31342547
 3.05441367 4.95082047 2.03058702 0.         0.         0.98932195]"
17,EmoDB,WAV2VEC2_LARGE_XLSR,"[83.33333373 88.0952394  94.04761791 93.09523702 96.90476298 96.90476179
 96.90476179 95.23809433 95.95238209 98.57142806 95.9523809  95.9523809
 97.14285612 96.19047403 96.66666508 97.14285612 99.28571343 99.28571343
 97.38095164 92.61904716 93.33333254 30.95238209 30.95238209 30.95238209]","[3.28191596 4.25917618 1.06479554 1.90476179 0.9523797  1.61483958
 2.8769146  1.6835879  0.58321254 1.16642289 1.21405208 1.21405208
 1.21405114 1.7496347  1.16642216 0.58320962 0.95238209 0.95238209
 1.38832088 2.85714348 1.61484117 0.         0.         0.        ]"
18,ShEMO,WAV2VEC2_LARGE_XLSR,"[88.0107522  88.33333254 88.49462271 90.43010712 91.23656034 91.72043085
 92.20430136 90.26881576 91.18279696 91.98924899 90.59139848 90.91398001
 91.18279576 91.66666865 90.59139848 91.55914068 90.53763509 91.02150798
 91.18279696 90.32257915 89.89247084 43.97849441 45.32258034 42.25806475]","[0.69269282 0.62698348 0.78649059 1.13541642 0.64962719 0.64516276
 0.89963572 0.31349399 0.52125737 0.26338574 0.91556033 0.72928438
 0.98256389 0.38016457 0.63613952 0.92498227 0.52125823 0.13169287
 0.62235788 1.02009079 0.64962551 0.89318451 1.93548441 3.41048393]"
19,CaFE,WAV2VEC2_LARGE_XLSR,"[49.40171123 56.23931766 58.03418875 59.74359035 69.91453052 71.36752248
 69.74359035 71.28205061 71.45299196 74.3589735  65.81196666 67.77777791
 68.97436023 69.40171003 71.62393212 72.22222328 74.27350521 74.61538434
 67.94871807 59.74358916 60.8547008  15.38461596 15.38461596 15.55555612]","[4.63118636 4.65478636 1.65291152 4.51780203 3.50948052 5.02750075
 4.18192389 4.15563953 4.87554185 3.58567035 5.73987459 3.42520738
 4.35478181 2.06901069 3.99612739 4.69696824 2.54120866 1.88422315
 2.49185964 5.83704959 2.8807344  0.         0.         0.34188032]"
20,IEMOCAP,WAV2VEC2_LARGE_XLSR,"[58.14616799 59.5900178  61.60427928 62.45989323 64.13547277 65.90017796
 65.75757623 65.73974967 66.04278088 64.95543838 65.47237039 64.61675525
 64.42067742 65.68627477 65.22281647 64.43850279 64.31372643 64.50980544
 63.06595325 63.19073081 62.92335153 26.34581089 26.50623918 27.89661288]","[0.9642156  0.54242801 0.69815162 0.90786525 1.49307523 0.58471545
 0.7161252  0.98862191 1.11033224 1.80942239 1.06594892 2.56399692
 2.82090823 0.87688996 1.3742855  2.00009237 1.63624435 1.19761683
 1.28614233 0.67170869 0.62261085 5.8118717  5.09616925 6.84269118]"
21,RAVDESS,HUBERT_BASE,"[53.40000033 54.33333278 55.73333383 62.73333311 62.2666657  64.19999957
 63.73333335 61.66666746 62.00000048 59.13333416 58.13333273 55.93333364]","[2.36079083 2.24103168 1.33998214 1.61107126 2.28424561 1.72046512
 1.9367785  1.34989583 1.07496667 1.27540933 1.46969369 1.06249082]"
22,AESDD,HUBERT_BASE,"[38.45410645 48.79227042 60.8695662  61.15942001 62.8019321  67.82608628
 66.4734304  60.67632794 57.19806671 55.55555463 59.22705293 60.19323587]","[6.90398815 2.26590202 2.22432231 1.66228588 3.17520465 1.74449026
 3.91989532 1.38673509 3.12482424 2.13873944 1.74449099 0.78493194]"
23,EMOVO,HUBERT_BASE,"[24.89795923 26.22448951 28.36734623 26.53061241 26.83673501 37.95918345
 35.61224461 37.24489748 34.48979557 32.55102038 35.10204077 31.32653058]","[0.98932195 2.71129192 3.20414682 2.4361915  1.9786451  2.74942761
 1.62626365 2.0151446  2.10609898 3.91762339 1.68907644 1.14540478]"
24,EmoDB,HUBERT_BASE,"[67.61904716 79.28571343 77.61904836 79.28571463 88.33333492 85.47619104
 91.19047642 86.66666627 85.23809552 88.33333373 83.33333254 84.28571463]","[3.22968014 3.65768932 1.38832088 1.61484099 3.79461349 1.16642508
 1.21405208 3.79461356 2.56436393 2.04817277 1.30410071 2.65131749]"
25,ShEMO,HUBERT_BASE,"[81.77419305 84.94623899 88.17204237 89.62365389 88.81720304 88.65591288
 89.46236372 88.5483861  88.06451559 89.35483694 88.92472982 86.29032373]","[1.18279457 0.58894842 0.76032915 0.62698348 0.97072327 0.95268969
 0.64516068 0.89318451 1.13541355 0.82592886 0.54828115 0.83289885]"
26,CaFE,HUBERT_BASE,"[39.82906044 44.01709437 47.94871807 49.48717952 53.07692409 52.82051325
 63.67521405 60.42735219 58.03418994 65.29914498 46.75213695 42.82051295]","[ 5.67202018  2.75632727  2.46829542  3.02665473  3.00242287  3.2388539
  1.73063664  1.31301675  3.78777992  2.42349581 10.56722708 10.62857536]"
27,IEMOCAP,HUBERT_BASE,"[55.54367304 57.00534701 59.44741488 61.56862617 60.9269166  62.03208447
 59.62566853 62.04990983 61.83600783 62.53119469 60.78431368 61.01604223]","[1.02305541 1.13523654 0.87507619 1.24445731 0.90996433 0.93985065
 1.74378674 0.75710408 0.97860649 0.69175058 1.03325355 0.94591816]"
28,RAVDESS,WAV2VEC2_BASE,"[52.00000048 53.59999895 58.73333216 58.86666656 60.66666722 60.1333344
 60.40000081 58.53333354 57.79999852 56.80000067 48.19999993 50.93333185]","[2.07632204 1.21837872 2.91661855 1.97315364 2.16024668 1.40791517
 0.71180632 1.12743696 1.04562481 2.07203628 1.35973853 2.06988883]"
29,AESDD,WAV2VEC2_BASE,"[42.5120765  56.6183579  58.93719673 64.54106331 64.15458918 57.77777672
 53.04347754 53.42995107 56.13526464 52.17391193 33.91304374 36.71497643]","[3.57618478 3.50233265 5.67504219 0.99474683 1.37998676 4.87515943
 1.50922638 2.70876233 1.96589275 1.78155433 4.20484227 0.80836758]"
30,EMOVO,WAV2VEC2_BASE,"[28.16326618 26.53061152 31.53061211 36.02040768 39.3877548  35.51020443
 35.51020443 35.71428597 35.51020384 33.16326439 20.81632644 23.36734712]","[1.68907637 0.72153719 1.26629263 1.53401053 1.80816799 1.42857173
 1.84239479 1.2497398  1.53401033 0.85373431 1.38414893 1.71962225]"
31,EmoDB,WAV2VEC2_BASE,"[66.42857075 74.28571343 86.66666746 82.14285731 86.9047606  84.76190567
 80.47619104 82.38095284 76.90476298 76.66666746 64.28571463 69.28571343]","[2.30841903 3.80952463 1.57934504 3.36717453 2.49716406 1.57934504
 3.4173103  1.38832088 1.61484029 1.21405184 1.6835879  3.22968128]"
32,ShEMO,WAV2VEC2_BASE,"[80.37634373 86.72043085 88.70967627 88.38709593 89.78494525 89.51612711
 88.70967627 86.93548441 84.73118305 86.18279696 83.22580576 82.68817067]","[2.04725092 0.43677584 0.34002953 0.43010712 0.6584663  0.70098884
 0.56387519 1.20937754 1.39578139 0.73323488 1.10966571 0.86021423]"
33,CaFE,WAV2VEC2_BASE,"[39.48718011 49.57265019 44.27350461 55.89743614 61.53846145 58.46153855
 59.23076987 52.73504436 45.98290622 44.18803453 36.0683769  35.04273593]","[6.70054904 0.71509471 1.28489705 4.60587728 2.05839211 0.95175539
 1.58983616 2.12131206 6.38799515 1.67922064 2.22222209 1.73063722]"
34,IEMOCAP,WAV2VEC2_BASE,"[55.65062284 56.98752403 59.64349389 60.28520465 61.6042769  62.10338593
 60.26738048 60.71301341 59.03743386 59.10873532 57.1122992  55.84670305]","[1.10257838 0.71656849 0.90786747 1.47379878 0.31586627 1.50557959
 1.04912189 0.9489368  0.90646573 1.17349477 1.01994503 1.38717103]"
35,RAVDESS,HUBERT_LARGE,"[54.06666636 55.26666641 63.93333197 62.20000029 60.19999862 61.59999967
 63.33333373 61.86666846 63.46666574 64.60000038 65.79999924 67.6666677
 66.20000005 64.80000138 63.20000172 63.53333235 66.20000005 63.46666932
 64.60000157 64.80000138 60.1333344  57.19999909 58.99999976 54.06666696]","[1.84270403 2.20504402 0.5734878  0.80553563 2.02868417 2.39814727
 1.80123463 2.36267269 3.36386043 4.40908016 3.05941154 2.89059847
 3.79239106 2.6465914  2.65497465 1.58604879 3.31058822 2.97097074
 2.90134074 3.13120473 2.11450033 1.14697561 1.64654605 3.90668893]"
36,AESDD,HUBERT_LARGE,"[49.08212543 54.10627961 58.93719912 61.15942001 60.289855   61.83575034
 62.89855123 63.9613533  65.02415299 68.11594129 66.57004714 67.63284922
 68.69565129 64.54106331 64.83091593 67.34299421 62.99516916 67.72946715
 68.01932335 63.9613533  66.57004714 58.84058118 66.76328421 61.35265708]","[3.19863702 2.88240233 3.53681284 2.79359145 3.31049945 4.44864332
 5.65361954 4.92279744 2.08570411 4.28837549 4.85405189 5.95595585
 6.1820645  7.10391337 7.46779315 5.27964407 5.62215927 4.13770322
 2.50835778 6.84287244 2.839988   2.37453241 5.14350954 1.85848994]"
37,EMOVO,HUBERT_LARGE,"[23.26530576 28.06122422 28.67346942 25.20408154 29.3877548  31.53061271
 32.04081655 33.87755156 33.46938789 37.14285731 40.81632674 40.
 40.40816367 35.91836751 35.40816367 36.12244904 30.51020414 30.9183681
 31.02040827 33.06122482 33.16326469 30.3061223  34.59183753 29.6938774 ]","[2.5733708  3.12851186 6.31829603 2.71129217 2.47014657 2.70744844
 2.46592746 2.84252823 5.65015059 3.21712005 4.94661189 2.29535153
 6.51304961 3.88023465 2.89695268 4.34602854 4.34602865 2.24953146
 4.26134942 4.34602858 5.70881659 6.22030682 4.42908873 4.06117381]"
38,EmoDB,HUBERT_LARGE,"[74.52381015 80.71428657 87.85714149 87.85714269 87.14285612 89.76190567
 91.90476179 91.19047523 94.52380896 96.19047523 96.19047642 96.19047523
 95.         94.76190329 93.57142925 92.38095284 91.90476179 89.28571463
 87.61904716 91.19047642 90.47618866 81.90476179 90.         85.71428537]","[4.73803429 2.95468436 1.74963535 2.04817263 1.16642216 2.07566631
 2.04817263 1.93429438 1.9342935  1.38832108 1.57934504 1.38832108
 1.16642508 1.9342954  1.93429482 1.93429438 1.57934468 3.68855419
 2.3328476  1.61484029 2.12958842 3.1406932  0.58321254 3.61089344]"
39,ShEMO,HUBERT_LARGE,"[80.59139848 87.79569864 88.5483861  88.76343966 88.92472982 88.92473102
 87.74193525 89.19354677 89.89247322 91.23656034 90.48387051 91.29032254
 90.43010831 88.97849321 89.08601999 88.81720304 87.90322542 89.5698905
 88.27956915 88.0107522  87.47311831 87.41935492 87.31182814 86.12903357]","[1.59850049 1.02855421 1.25626993 0.87355168 1.2069851  1.15810112
 1.57298117 0.87355168 0.80824382 0.4367776  1.30147627 0.92498282
 0.6926955  0.96174875 0.90922142 1.30147386 0.48087438 0.62235623
 0.73323488 1.34515958 1.02855421 0.54828115 0.80465674 0.73323488]"
40,CaFE,HUBERT_LARGE,"[40.94017148 57.77777791 60.25641024 62.13675261 65.89743614 62.13675261
 68.71794939 66.83760762 66.0683763  68.20512772 65.2136755  71.70940161
 67.86324859 67.52136827 65.2136755  64.3589747  64.10256386 65.29914618
 62.64957368 57.77777731 60.94017088 61.7094028  65.38461566 60.76923132]","[3.4443488  2.39316212 6.3328664  2.68381451 2.69468118 6.41082625
 2.43851992 3.18196716 1.67922137 3.17046803 6.79796154 2.61208534
 5.22277519 5.81573367 3.94090315 5.60855669 5.35127414 3.19113622
 7.19980908 7.49217289 7.29556117 1.96022963 3.16354712 5.30603228]"
41,IEMOCAP,HUBERT_LARGE,"[53.51158619 57.7361846  58.03921461 59.28698778 59.01960731 60.62388539
 61.65775537 61.47949934 64.01069403 62.97682643 64.61675525 63.22638035
 62.21033812 62.92335272 61.24777317 61.42602563 61.4973259  63.17290545
 63.15508127 62.69162297 63.3511579  62.58467078 62.35294104 63.01247716]","[2.00691083 1.12652555 1.76317322 1.99643496 1.05365616 1.55948421
 1.49817467 1.40853856 1.60961731 1.736115   2.1121319  1.9070584
 0.87325672 1.1131915  0.83112566 1.31642    1.13439704 0.92862879
 0.88338753 1.8235923  1.66969108 2.55244508 1.67747396 1.14969891]"
