,dataset,model,mean_accuracy,std_accuracy
20,EmoDB,WAV2VEC2_BASE,"[67.14285731 78.57142806 83.80952358 87.61904716 83.33333254 89.52380896
 86.90476298 84.52380896 84.76190329 78.80952477 82.61904597 67.38095284
 73.09523821]","[3.49927069 3.61089305 2.87691697 1.78174119 1.30410071 0.89087187
 1.30410071 3.19438308 1.90476209 2.95468513 1.42857075 0.95237941
 3.57935627]"
21,EmoDB,WAV2VEC2_LARGE,"[70.23809433 70.23809433 79.0476203  79.76190567 80.71428657 86.19047523
 91.42857075 93.57142806 95.71428657 95.         91.66666746 90.47618985
 90.71428537 90.47619104 87.61904716 84.0476191  85.95238209 85.
 87.14285731 86.19047523 82.85714269 82.38095284 63.80952477 49.0476197
 40.23809493]","[1.6835879  1.6835879  3.06764168 1.30410071 0.89087187 4.02655599
 3.79461356 2.33284797 2.07566522 0.89087187 1.50584642 4.99432698
 1.16642289 0.75292415 4.29892057 1.21405184 0.89087187 0.58321254
 1.90476149 2.20800434 2.67261284 1.38832088 4.02655599 1.90476283
 5.18369956]"
22,EmoDB,WAV2VEC2_LARGE_XLSR,"[70.9523797  85.71428418 87.38095164 92.38095164 92.61904836 96.42857075
 97.14285612 97.85714149 95.         96.19047523 96.66666746 96.66666627
 95.71428537 96.66666627 96.9047606  96.42857194 97.85714149 99.28571343
 98.09523702 97.38095045 91.90476179 92.61904597 30.95238209 30.95238209
 30.95238209]","[2.45134065 3.68855535 2.20800459 3.24718553 2.30841903 1.30410071
 1.78174119 2.18217942 0.47619104 2.04817277 1.90476209 0.89086932
 2.67261157 0.89086932 2.20800459 0.75292227 0.89086996 0.58321254
 1.21405208 1.74963535 2.3084189  1.90476209 0.         0.
 0.        ]"
23,EmoDB,WAV2VEC2_LARGE_XLSR300M,"[70.23809671 79.99999881 84.28571463 85.71428537 92.14285731 93.57142925
 93.57142806 95.23809433 95.23809552 95.23809433 93.57142806 92.38095284
 93.80952239 93.33333254 92.38095284 95.         96.19047642 95.9523809
 95.71428657 94.99999881 91.90476179 93.33333373 61.66666627 50.47618985
 53.80952477]","[6.81800942 3.14069121 1.38832169 2.60820141 3.06764195 3.57935611
 2.77664472 1.99204863 1.99204649 1.50584642 1.78174167 0.95237941
 0.89087187 1.21405208 0.95237941 2.04817166 0.89086996 0.95238
 0.58321254 1.38832129 1.90476149 1.93429438 2.95468513 4.6778293
 5.80288553]"
24,IEMOCAP,HUBERT_BASE,"[53.54723692 56.43493652 57.89661407 59.18003559 61.9607842  62.86987543
 63.65418792 61.78253174 64.68805671 64.31372643 63.9215672  64.08199668
 63.06595206]","[1.24700713 0.77575903 0.82767854 1.3575349  0.58958591 1.51315649
 0.58688509 0.69129128 0.74012575 1.05546282 0.71390341 0.55802219
 0.88876686]"
25,IEMOCAP,HUBERT_LARGE,"[50.51247925 54.41176444 57.79857486 60.40552557 61.45276278 60.71746945
 63.10160458 61.87611371 63.56951892 65.84224403 65.21835923 64.50534612
 63.97058815 64.63903785 62.70053536 61.85383201 62.58912534 61.4973262
 63.5026738  63.36898208 64.57219422 62.78966069 64.79500979 63.8146162
 64.39393908]","[1.4293292  2.4574534  1.32271079 1.07761233 0.477887   0.84170353
 1.5679707  0.97709371 1.39273802 0.79060563 1.31348482 1.2499591
 0.91191406 0.83934084 1.42672064 1.02592266 0.77024838 1.58183961
 1.55461323 1.19907459 1.5158072  2.45907047 1.93837553 2.23083575
 0.5861378 ]"
26,IEMOCAP,WAV2VEC2_BASE,"[52.12121248 55.18716574 56.488415   59.21568751 61.21212006 62.70944715
 62.78074861 61.14081979 62.26381421 59.28698778 60.10695338 58.02138925
 56.63101554]","[0.84251633 1.24700674 1.13074876 1.5443345  1.80678789 1.20185516
 0.97078447 0.59920594 1.2774664  1.35448876 0.74696356 1.16069947
 0.58742404]"
27,IEMOCAP,WAV2VEC2_LARGE,"[52.38859177 58.87700558 60.14260173 61.35472417 62.70944715 62.19251394
 63.15508008 62.54902005 61.72905564 62.9411757  63.38680863 61.51515126
 61.49732709 62.28163958 62.4242413  61.53297782 62.70944715 62.86987543
 62.63814569 63.85026693 62.79857278 60.8734405  59.91087198 53.56506228
 52.04991102]","[0.99311258 1.12539583 0.74440736 0.76378963 0.61902784 0.95892831
 1.01869788 1.50135313 1.88443136 0.90083965 0.36269071 1.45186044
 1.26672591 0.98829925 1.26119706 0.93578652 0.71434746 0.88876654
 0.55915788 0.84852868 0.99980784 0.74355264 0.80589356 1.48282467
 0.94826563]"
28,IEMOCAP,WAV2VEC2_LARGE_XLSR,"[51.37254953 58.68092656 59.07308459 61.31907225 62.67379642 64.6345818
 66.29233479 65.56149721 65.70409894 65.57932377 65.81105113 65.22281647
 65.32976866 66.23886108 65.06238937 64.31372523 64.59892988 64.7415328
 63.51158619 63.51158619 64.20677304 62.95899987 24.18894827 22.99465239
 23.2976827 ]","[1.7866257  1.91454022 2.199387   2.01827794 1.03386865 1.80590702
 1.3152131  0.85226677 0.24179502 1.61749385 1.2447127  2.26276268
 1.07986741 1.57469283 0.65736424 0.55972622 1.98286059 1.26998445
 1.59693367 1.60289043 1.3130367  0.67312656 2.38859177 0.
 0.56255725]"
29,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,"[51.02495551 58.93493742 60.47237217 62.18805611 62.00980395 63.12388629
 63.74777257 63.4803921  62.94563413 61.96524203 62.38859147 61.36363745
 61.67558134 63.41354847 64.1265586  63.14616799 62.99019605 65.1292339
 65.17379731 64.10427839 59.40285325 58.26648772 56.5953657  50.26738048
 49.95543659]","[1.31367124 0.6914485  0.60612794 0.653046   1.62197549 1.24518196
 0.74933927 0.86267672 0.29810635 0.78049383 1.45634186 1.29846823
 0.99646527 1.60489878 0.70882213 0.84670217 1.05338248 1.04771144
 0.74401959 1.20300206 0.91000772 0.68857125 2.00979849 1.07691958
 1.96735643]"
