,dataset,model,max_accuracy,mean_accuracy,std_accuracy
25,IEMOCAP,HUBERT_LARGE,72.45989441871643,"[58.94830585 64.20677185 63.36898446 64.49198008 65.00891209 66.61319017
 66.66666627 67.55793214 68.78787756 69.28698778 68.66310239 69.14438486
 69.19785976 68.34224582 68.69875312 68.32442045 69.71479535 69.82174754
 69.46524024 70.62388539 70.16042829 71.28342152 70.14260292 71.10516906
 70.14260173]","[1.40198229 1.13383612 1.05756925 0.27383845 0.62158936 0.79836674
 0.80707523 0.69495899 1.04456997 1.36523889 1.29353261 1.01369518
 0.70764478 1.26597324 0.63873331 1.46731691 0.97372414 1.10113581
 1.06445727 0.99662483 1.05516203 0.87942267 1.75287271 0.63373863
 0.54359862]"
26,IEMOCAP,WAV2VEC2_BASE,66.84492230415344,"[58.02139044 62.51336813 63.47593546 62.65597105 64.91978645 64.45632696
 65.27629256 64.97326255 65.24064183 62.67379761 61.42602563 57.86096096
 56.63101673]","[2.51583317 1.86834541 1.68673143 1.19176681 0.51846768 0.96223706
 1.00456406 0.7062959  1.39220269 0.81374098 0.80391942 1.83989667
 0.55972637]"
27,IEMOCAP,WAV2VEC2_LARGE,67.73618459701538,"[60.03565073 63.04812908 63.58288765 64.83065963 64.29589868 63.38680863
 64.84848619 66.77361727 66.27450943 65.56149721 65.8288753  66.31016254
 65.41889429 65.16933918 65.6684494  65.57932377 65.79322577 64.26025033
 64.56328034 65.25846839 64.61675644 60.53475857 60.90909123 56.38146162
 53.20855618]","[1.16015257 1.17782118 0.6683898  0.90295445 0.88158745 0.78390851
 0.62668071 0.83873694 0.91170699 0.57374224 0.71656882 1.03938611
 0.41036865 0.36704465 0.81763652 1.11803264 0.97535525 1.38991782
 1.22671241 1.00107831 0.67876733 0.68667868 1.13383659 1.44440026
 1.94205929]"
28,IEMOCAP,WAV2VEC2_LARGE_XLSR,71.7468798160553,"[58.36007237 64.02852058 65.86452723 64.6880579  65.8288765  67.14795113
 67.23707557 68.5561502  68.69875312 68.37789655 69.23351169 69.0196085
 69.78609681 69.19786096 68.21746945 67.55793333 67.21925139 66.73796773
 67.07664728 66.11408353 65.40106893 65.3654182  42.81639934 43.19073081
 40.4634589 ]","[2.9389607  1.8564008  1.21290774 1.79973962 0.56255903 1.09244629
 0.36356537 1.13775123 1.22126299 0.62363175 1.32603978 1.00614396
 0.96487544 0.72975024 1.08953369 0.77902881 0.78795138 1.03999719
 0.50919248 1.26597302 0.48293082 1.11973522 1.95477919 3.01379615
 1.97209551]"
29,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,73.88591766357422,"[55.41889429 64.06417131 64.70588326 67.21925139 66.57753944 69.05525804
 68.73440266 68.52049947 69.03743267 69.55436826 69.83957171 70.71301222
 71.05169415 71.9073081  71.22994781 71.49732471 70.19607902 71.55080199
 70.07130027 68.30659509 67.77183652 66.68449283 61.94296002 57.23707557
 58.64527583]","[1.49073355 1.47466175 0.88769375 0.37134749 1.17836044 0.86301039
 0.6958718  0.52091373 1.16152215 0.78633639 1.16561732 0.39698753
 1.17889992 1.34743363 0.83493996 0.37980997 1.01243961 0.6958733
 1.09069825 1.07780401 1.09679907 1.1237008  1.54577449 1.40288708
 1.08865883]"
30,RAVDESS,HUBERT_BASE,65.66666960716248,"[51.33333266 56.80000067 55.86666703 59.66666698 59.53333259 59.53333259
 61.06666803 64.20000076 60.79999924 56.20000005 58.26666594 56.33333325
 59.33333397]","[2.55603826 3.00073985 3.53144616 1.97765366 0.90921378 0.95684817
 0.85374908 1.22202188 1.34329773 2.95597391 1.99332252 1.17378667
 1.22927368]"
31,RAVDESS,HUBERT_LARGE,76.33333206176758,"[44.80000019 59.9333334  62.79999971 63.73333335 65.86666703 65.53333402
 65.59999943 63.33333254 66.86666608 71.26666665 71.93333268 72.46666551
 72.4000001  71.73333287 70.93333244 69.26666737 71.33333325 70.
 68.80000114 68.46666813 70.73333263 67.99999952 58.26666713 62.13333368
 65.80000043]","[2.65497484 3.89529521 3.24277032 3.20000115 1.82086763 5.15363929
 2.75196902 3.38624687 2.87208754 1.58324671 3.59876437 4.57335312
 3.19999973 4.10636422 1.56914755 3.34929384 2.12916317 2.12916224
 4.30297084 2.39999963 1.5691472  3.4189024  2.1949442  3.80409118
 1.34329743]"
32,RAVDESS,WAV2VEC2_BASE,65.3333306312561,"[53.06666613 56.60000086 57.5333333  57.66666651 60.0666678  60.46666622
 61.73333287 58.40000033 63.79999876 62.3333323  55.         50.73333263
 51.86666667]","[2.66999814 1.90204579 2.05047387 2.83627196 0.92856056 1.66800021
 1.45143666 1.69181098 1.12743456 2.78088607 1.46059373 3.24824705
 4.20370318]"
33,RAVDESS,WAV2VEC2_LARGE,73.66666793823242,"[55.53333282 59.73333359 57.06666708 57.66666651 58.79999876 61.93333387
 64.33333278 62.66666651 65.93333364 67.53333449 66.60000086 65.19999981
 69.73333359 66.40000105 66.13333344 67.59999871 64.13333297 63.13333273
 62.6666677  58.13333392 55.73333263 52.66666651 46.93333387 33.66666615
 27.3999998 ]","[1.69443574 1.79381758 4.21320705 2.75680914 1.79629289 1.28927074
 3.0767962  2.5991462  1.33998499 0.93333244 1.45143627 0.97979731
 2.24499438 1.62480789 2.20705958 2.62805393 1.54344515 0.16329916
 2.13957384 2.70472846 1.86666663 2.31900398 2.45311571 1.19256978
 2.83940506]"
34,RAVDESS,WAV2VEC2_LARGE_XLSR,77.66666412353516,"[48.40000033 63.60000014 62.46666551 59.93333459 69.06666517 66.20000005
 71.86666608 71.66666746 71.86666727 74.7333324  72.73333311 73.06666732
 70.2666688  73.53333354 69.7333324  71.86666727 71.20000005 72.80000091
 73.06666613 71.26666784 68.46666694 67.46666551 33.73333335 27.3333329
 28.53333324]","[2.01549503 3.69022814 2.15612826 4.66380827 2.18479608 4.40504749
 1.65462417 2.83627294 2.90287186 2.28424498 3.0940803  3.4473813
 2.99184077 2.72111057 2.72763709 2.67996712 0.90921378 1.49962932
 1.95959244 2.03742809 3.82157575 3.15946535 3.40848576 2.43127764
 4.95580511]"
35,RAVDESS,WAV2VEC2_LARGE_XLSR300M,79.00000214576721,"[48.19999933 52.06666589 58.06666613 61.20000005 64.13333297 65.66666603
 66.40000105 72.4666667  72.20000029 73.26666713 74.9333334  72.99999952
 74.13333297 72.86666632 74.86666679 71.73333287 75.2666676  74.86666679
 75.93333483 71.79999948 62.2666657  64.19999957 53.59999955 39.46666718
 38.39999974]","[3.45510843 2.43493075 1.8061625  2.24697318 1.39204142 3.63317937
 4.14407236 3.00074041 2.57854383 3.1297845  2.61108848 3.06231517
 2.94089888 1.77137841 2.56125067 1.8306048  2.21509923 1.14697561
 2.55951426 3.57522233 3.76769937 1.52897953 4.31225587 3.36386046
 4.18675096]"
36,ShEMO,HUBERT_BASE,91.66666865348816,"[86.72043085 91.29032373 89.62365508 89.78494406 90.26881814 89.89247203
 89.30107355 89.73118186 89.19354677 89.0322578  88.70967627 88.92472982
 88.33333254]","[0.69269282 0.49858348 1.00005833 0.44981679 0.90603943 1.00005833
 0.64516068 0.70918971 0.80465674 1.05354504 0.94660215 0.85684743
 0.71325196]"
37,ShEMO,HUBERT_LARGE,93.54838728904724,"[86.23656034 89.94623542 91.55914068 92.04301238 91.34408712 92.15053916
 91.82795882 91.61290407 92.15053916 91.72043204 91.39785051 92.04301238
 92.31182933 91.77419543 91.98924899 92.20430255 90.91397882 90.48387051
 90.10752559 90.9677422  90.9677422  90.91397882 91.34408832 90.37634373
 89.62365389]","[0.59868377 0.79015901 0.49858348 0.55352797 0.4301092  0.80465674
 0.60349255 0.85684923 0.74883737 0.85684743 0.61299852 1.00005685
 0.52677149 0.55352797 0.26338574 0.38016457 0.87355366 1.00005935
 0.76789638 0.32258312 0.73323741 1.32131371 0.39507861 0.72928456
 0.55352797]"
38,ShEMO,WAV2VEC2_BASE,92.20430254936218,"[88.33333254 89.35483694 89.5698905  90.80645084 90.5376339  90.
 89.35483694 89.78494525 89.46236372 87.68817186 89.35483694 88.33333254
 87.04301119]","[0.87685435 0.49858116 0.66718612 0.87355403 0.68850984 1.51494687
 0.55352797 1.23772825 0.64516068 0.78649059 0.80824097 0.36464105
 0.93739673]"
39,ShEMO,WAV2VEC2_LARGE,91.93548560142517,"[86.61290407 88.97849321 90.26881576 89.78494525 89.78494525 91.34408832
 90.26881695 90.48387051 89.83870864 89.40860033 89.13978338 89.67741728
 88.17204237 88.60214949 88.44085932 88.17204237 88.27956915 87.68817186
 88.27956915 88.06451559 87.52688169 86.72043085 86.66666746 80.69892526
 73.4946239 ]","[0.83981099 1.3059082  0.46249169 0.81536414 1.12775179 0.39507861
 0.99716503 0.49858361 0.7678968  0.52677149 1.25626993 0.64962551
 0.61299696 1.05628301 0.76032915 1.28358333 0.55352797 1.24238806
 0.71325196 0.77164981 0.73323488 0.43677584 1.18523584 1.03973447
 1.13541535]"
40,ShEMO,WAV2VEC2_LARGE_XLSR,95.16128897666931,"[87.31182814 90.80645084 92.20430255 92.4731195  92.68817306 92.31182933
 94.13978457 92.90322661 93.38709712 93.54838729 93.38709712 92.68817306
 92.90322661 91.66666865 92.90322661 93.27957034 92.41935611 92.58064628
 92.90322661 93.27957034 91.9892478  92.04301238 74.67741966 72.04301119
 73.17204356]","[1.0257401  0.54828372 0.636137   0.41644943 0.46249016 0.64962551
 0.66718612 0.73323488 0.49858116 0.38016457 0.43677584 0.43010712
 0.40232837 0.38016457 0.62698348 0.38016457 0.83981099 0.43677584
 0.27414057 0.44981679 1.12003683 0.90922142 1.4565811  1.41225121
 2.2062674 ]"
41,ShEMO,WAV2VEC2_LARGE_XLSR300M,94.62365508079529,"[85.10752916 91.12903237 91.50537729 92.15053916 91.82795763 92.25806475
 92.31182933 92.31182933 92.68817306 93.06451678 91.93548441 92.79569983
 92.20430255 92.63440967 93.27957034 92.4731195  93.27957034 93.27957034
 93.4946239  93.87096763 92.52688289 93.11828017 90.32258153 86.12903357
 84.89247322]","[0.77164981 0.81536453 0.86021587 0.46249016 0.92498227 1.1455531
 0.49858116 0.43677584 0.70918782 0.39507861 0.97666244 0.10752678
 1.26086325 1.09656229 0.88342264 0.48087438 0.41644943 1.17789685
 0.88994245 0.39507861 0.39507861 0.84324582 1.26086554 1.05628301
 1.45658388]"
